83"Yah Yah (feat. Royce Da 5'9""   Black Thought    Q-Tip & Denaun)"  Eminem
193"DJ No Pare (feat. Zion   Dalex    Lenny Tavárez) -Remix"  "Justin Quiles"
169"thank u   next"   "Ariana Grande"  5632983
116"Alone   Pt. II"   "Alan Walker"  7047512
113"I Will (feat. KXNG Crooked   Royce Da 5'9"" & Joell Ortiz)"   Eminem  7115414
145"Yo x Ti   Tu x Mi"   ROSALÍA  6325620
67"10  000 Hours (with Justin Bieber)"   "Dan + Shay"  9632834
200Youngblood  "5 Seconds of Summer"   5124680  https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
107"It's You"  "Ali Gatie"   7757509  https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
103"Yellow Hearts"  "Ant Saunders"   7910766  https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
45China  "Anuel AA"   11911525  https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
158Infeliz  Arcangel   5868668  https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
87"7 rings"  "Ariana Grande"   8553234  https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
130FML  "Arizona Zervas"   6602053  https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf
8ROXANNE  "Arizona Zervas"   32102084  https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
154"Sweet but Psycho"  "Ava Max"   6030412  https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
31Vete  "Bad Bunny"   14898265  https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
84Callaita  "Bad Bunny"   8645221  https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
164"Eastside (with Halsey & Khalid)"  "benny blanco"   5792803  https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
13"everything i wanted"  "Billie Eilish"   21786149  https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
23"bad guy"  "Billie Eilish"   16405196  https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
172"bury a friend"  "Billie Eilish"   5609959  https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
173"ocean eyes"  "Billie Eilish"   5592630  https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
88"lovely (with Khalid)"  "Billie Eilish"   8520393  https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
92"when the party's over"  "Billie Eilish"   8326950  https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
137"me & ur ghost"  blackbear   6511851  https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
29"hot girl bummer"  blackbear   15114079  https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
46SUGAR  BROCKHAMPTON   11904637  https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
165"Boy With Luv (feat. Halsey)"  BTS   5781676  https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
19"Black Swan"  BTS   18424710  https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b
25"My Oh My (feat. DaBaby)"  "Camila Cabello"   16246433  https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
176Liar  "Camila Cabello"   5556337  https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
143Tutu  Camilo   6327743  https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
160"No Guidance (feat. Drake)"  "Chris Brown"   5834488  https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
183Maniac  "Conan Gray"   5456506  https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
181Suge  DaBaby   5462570  https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
97VIBEZ  DaBaby   8197804  https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
89"TOES (feat. Lil Baby & Moneybagg Yo)"  DaBaby   8407521  https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
33BOP  DaBaby   14163167  https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
101"Que Tire Pa Lante"  "Daddy Yankee"   8007941  https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
191"Con Calma"  "Daddy Yankee"   5302464  https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
114"Bellaquita - Remix"  Dalex   7077703  https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
41"Hola - Remix"  Dalex   12526399  https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
199"Be Alright"  "Dean Lewis"   5167120  https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
28"Sigues Con El"  "Dimelo Flow"   15207363  https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
174"Loco Contigo (feat. J. Balvin & Tyga)"  "DJ Snake"   5561516  https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
43"Say So"  "Doja Cat"   12325839  https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
188"3 Nights"  "Dominic Fike"   5390516  https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
37"No Idea"  "Don Toliver"   13281093  https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
131"Money In The Grave (Drake ft. Rick Ross)"  Drake   6598862  https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
10"Don't Start Now"  "Dua Lipa"   28228768  https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
50"I Don't Care (with Justin Bieber)"  "Ed Sheeran"   11679460  https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
60"Beautiful People (feat. Khalid)"  "Ed Sheeran"   10419420  https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
142"Shape of You"  "Ed Sheeran"   6351986  https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
171Perfect  "Ed Sheeran"   5619894  https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
65"South of the Border (feat. Camila Cabello & Cardi B)"  "Ed Sheeran"   9819626  https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
146"Hate Me (with Juice WRLD)"  "Ellie Goulding"   6177336  https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
44"Leaving Heaven (feat. Skylar Grey)"  Eminem   11944780  https://open.spotify.com/track/5CpsIb7SMFHjmAG8RvIWfq
102"Little Engine"  Eminem   7913461  https://open.spotify.com/track/4qNWEOMyexn7b8Icyk29t9
70"No Regrets (feat. Don Toliver)"  Eminem   9493884  https://open.spotify.com/track/1lO9CZo6eDrOy0S7khgryG
72"Lock It Up (feat. Anderson .Paak)"  Eminem   9328951  https://open.spotify.com/track/1qwMkkRiD5jqLeUUjfgblh
73Marsh  Eminem   9260007  https://open.spotify.com/track/34d7sGX6WUqq8f04e7CSNF
74Stepdad  Eminem   9159901  https://open.spotify.com/track/3QVHSV8YKYq4L8tI5rnFgj
32"Unaccommodating (feat. Young M.A)"  Eminem   14792747  https://open.spotify.com/track/0q2vG0UVuy6ajjcpkQHdZM
4"Godzilla (feat. Juice WRLD)"  Eminem   40637125  https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
22"Those Kinda Nights (feat. Ed Sheeran)"  Eminem   16416620  https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH
52"In Too Deep"  Eminem   11348893  https://open.spotify.com/track/7Dj2wqPYXfSRFwa6qyOztr
57"Premonition - Intro"  Eminem   10830400  https://open.spotify.com/track/7ccTcabbJlCJiIqtrSSwBk
90"Never Love Again"  Eminem   8335790  https://open.spotify.com/track/40YbWniIEmqy6s58fYXLUh
30"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)"  Eminem   14947053  https://open.spotify.com/track/0GQ5bFTVFFKpwNPc7KwQnB
